UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,label,Power_kw,Combined_Energy,Temp_Delta,High_Temp_Flag,Wear_x_Torque,Stress_Index,Torque_per_Wear,Speed_x_Temp,Torque_sq,Speed_sq,Temp_Squared,Log_Tool_Wear,Wear_Bin
1,M14860,M,298.1,308.6,1551,42.8,0,0,66.38279999999999,0.0,10.5,0,0.0,0,42.8,478638.60000000003,1831.8399999999997,2405601,95233.96000000002,0.0,0
2,L47181,L,298.2,308.7,1408,46.3,3,0,65.1904,195.57119999999998,10.5,0,138.89999999999998,4224,11.575,434649.6,2143.6899999999996,1982464,95295.68999999999,1.3862943611198906,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,74.0012,370.006,10.399999999999977,0,247.0,7490,8.233333333333333,462133.0,2440.3599999999997,2244004,95172.25,1.791759469228055,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,56.6035,396.2245,10.400000000000034,0,276.5,10031,4.9375,442223.80000000005,1560.25,2053489,95233.96000000002,2.0794415416798357,0
5,L47184,L,298.2,308.7,1408,40.0,9,0,56.32,506.88,10.5,0,360.0,12672,4.0,434649.6,1600.0,1982464,95295.68999999999,2.302585092994046,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,59.7075,656.7825,10.5,0,460.9,15675,3.4916666666666667,439755.00000000006,1755.61,2030625,95233.96000000002,2.4849066497880004,0
7,L47186,L,298.1,308.6,1558,42.4,14,0,66.0592,924.8288,10.5,0,593.6,21812,2.8266666666666667,480798.80000000005,1797.76,2427364,95233.96000000002,2.70805020110221,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,61.385400000000004,982.1664000000001,10.5,0,643.2,24432,2.364705882352941,471232.2,1616.0400000000002,2331729,95233.96000000002,2.833213344056216,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,47.6762,858.1716,10.399999999999977,0,514.8000000000001,30006,1.5052631578947369,514602.89999999997,817.96,2778889,95295.68999999999,2.9444389791664403,0
10,M14869,M,298.5,309.0,1741,28.0,21,0,48.748,1023.708,10.5,0,588.0,36561,1.2727272727272727,537969.0,784.0,3031081,95481.0,3.091042453358316,0
11,H29424,H,298.4,308.9,1782,23.9,24,0,42.5898,1022.1551999999999,10.5,0,573.5999999999999,42768,0.956,550459.7999999999,571.2099999999999,3175524,95419.20999999999,3.2188758248682006,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,63.03889999999999,1828.1280999999997,10.5,0,1284.6999999999998,41267,1.4766666666666666,439849.30000000005,1962.4899999999998,2024929,95542.81000000001,3.4011973816621555,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,68.42290000000001,2326.3786000000005,10.5,0,1737.4,45526,1.46,413884.9,2611.21,1792921,95542.81000000001,3.5553480614894135,0
14,M14873,M,298.6,309.2,1742,30.0,37,0,52.26,1933.62,10.599999999999966,0,1110.0,64454,0.7894736842105263,538626.4,900.0,3034564,95604.64,3.6375861597263857,0
15,L47194,L,298.6,309.2,2035,19.6,40,0,39.886,1595.44,10.599999999999966,0,784.0,81400,0.4780487804878049,629222.0,384.1600000000001,4141225,95604.64,3.713572066704308,0
16,L47195,L,298.6,309.2,1542,48.4,42,0,74.6328,3134.5776,10.599999999999966,0,2032.8,64764,1.1255813953488372,476786.39999999997,2342.56,2377764,95604.64,3.7612001156935624,0
17,M14876,M,298.6,309.2,1311,46.6,44,0,61.0926,2688.0744,10.599999999999966,0,2050.4,57684,1.0355555555555556,405361.2,2171.56,1718721,95604.64,3.8066624897703196,0
18,M14877,M,298.7,309.2,1410,45.6,47,0,64.296,3021.9120000000003,10.5,0,2143.2000000000003,66270,0.9500000000000001,435972.0,2079.36,1988100,95604.64,3.871201010907891,0
19,H29432,H,298.8,309.2,1306,54.5,50,0,71.177,3558.8500000000004,10.399999999999977,0,2725.0,65300,1.0686274509803921,403815.2,2970.25,1705636,95604.64,3.9318256327243257,0
20,M14879,M,298.9,309.3,1632,32.5,55,0,53.04,2917.2,10.400000000000034,0,1787.5,89760,0.5803571428571429,504777.60000000003,1056.25,2663424,95666.49,4.02535169073515,1
21,H29434,H,298.9,309.3,1375,42.7,58,0,58.712500000000006,3405.3250000000003,10.400000000000034,0,2476.6000000000004,79750,0.7237288135593221,425287.5,1823.2900000000002,1890625,95666.49,4.07753744390572,1
22,L47201,L,298.8,309.3,1450,44.8,63,0,64.96,4092.4799999999996,10.5,0,2822.3999999999996,91350,0.7,448485.0,2007.0399999999997,2102500,95666.49,4.1588830833596715,1
23,M14882,M,298.9,309.3,1581,30.7,65,0,48.536699999999996,3154.8855,10.400000000000034,0,1995.5,102765,0.46515151515151515,489003.30000000005,942.49,2499561,95666.49,4.189654742026425,1
24,L47203,L,299.0,309.4,1758,25.7,68,0,45.1806,3072.2808,10.399999999999977,0,1747.6,119544,0.372463768115942,543925.2,660.49,3090564,95728.35999999999,4.23410650459726,1
25,M14884,M,299.0,309.4,1561,37.3,70,0,58.2253,4075.7709999999997,10.399999999999977,0,2611.0,109270,0.5253521126760563,482973.39999999997,1391.2899999999997,2436721,95728.35999999999,4.2626798770413155,1
26,L47205,L,299.0,309.5,1861,23.3,73,0,43.3613,3165.3749,10.5,0,1700.9,135853,0.31486486486486487,575979.5,542.89,3463321,95790.25,4.30406509320417,1
27,L47206,L,299.1,309.5,1512,39.0,75,0,58.968,4422.6,10.399999999999977,0,2925.0,113400,0.5131578947368421,467964.0,1521.0,2286144,95790.25,4.330733340286331,1
28,H29441,H,299.1,309.4,1811,24.6,77,0,44.5506,3430.3962,10.299999999999955,0,1894.2,139447,0.31538461538461543,560323.3999999999,605.1600000000001,3279721,95728.35999999999,4.356708826689592,1
29,L47208,L,299.1,309.4,1439,44.2,82,0,63.6038,5215.5116,10.299999999999955,0,3624.4,117998,0.5325301204819277,445226.6,1953.6400000000003,2070721,95728.35999999999,4.418840607796598,1
30,L47209,L,299.0,309.4,1693,30.1,84,0,50.959300000000006,4280.5812000000005,10.399999999999977,0,2528.4,142212,0.35411764705882354,523814.19999999995,906.0100000000001,2866249,95728.35999999999,4.442651256490317,1
31,M14890,M,299.1,309.5,1339,48.2,86,0,64.5398,5550.4228,10.399999999999977,0,4145.2,115154,0.5540229885057472,414420.5,2323.2400000000002,1792921,95790.25,4.465908118654584,1
32,L47211,L,299.0,309.4,1798,25.5,89,0,45.849,4080.5609999999997,10.399999999999977,0,2269.5,160022,0.2833333333333333,556301.2,650.25,3232804,95728.35999999999,4.499809670330265,1
33,L47212,L,299.0,309.4,1419,48.3,91,0,68.5377,6236.9307,10.399999999999977,0,4395.3,129129,0.525,439038.6,2332.89,2013561,95728.35999999999,4.5217885770490405,1
34,L47213,L,298.9,309.3,1665,32.5,93,0,54.1125,5032.4625,10.400000000000034,0,3022.5,154845,0.34574468085106386,514984.5,1056.25,2772225,95666.49,4.543294782270004,1
35,M14894,M,298.8,309.1,1559,34.7,95,0,54.097300000000004,5139.2435000000005,10.300000000000011,0,3296.5000000000005,148105,0.3614583333333334,481886.9,1204.0900000000001,2430481,95542.81000000001,4.564348191467836,1
36,M14895,M,298.8,309.2,1452,48.6,98,0,70.5672,6915.5856,10.399999999999977,0,4762.8,142296,0.4909090909090909,448958.39999999997,2361.96,2108304,95604.64,4.59511985013459,1
37,M14896,M,298.9,309.2,1581,36.7,101,0,58.02270000000001,5860.292700000001,10.300000000000011,0,3706.7000000000003,159681,0.3598039215686275,488845.19999999995,1346.89,2499561,95604.64,4.624972813284271,1
38,L47217,L,298.8,309.1,1439,39.2,104,0,56.4088,5866.5152,10.300000000000011,0,4076.8,149656,0.37333333333333335,444794.9,1536.6400000000003,2070721,95542.81000000001,4.653960350157523,1
39,H29452,H,298.9,309.2,1379,50.7,106,0,69.9153,7411.0218,10.300000000000011,0,5374.200000000001,146174,0.4738317757009346,426386.8,2570.4900000000002,1901641,95604.64,4.672828834461906,1
40,L47219,L,298.8,309.1,1350,52.5,111,0,70.875,7867.125,10.300000000000011,0,5827.5,149850,0.46875,417285.00000000006,2756.25,1822500,95542.81000000001,4.718498871295094,2
41,L47220,L,298.8,309.1,1362,45.4,113,0,61.834799999999994,6987.332399999999,10.300000000000011,0,5130.2,153906,0.3982456140350877,420994.2,2061.16,1855044,95542.81000000001,4.736198448394496,2
42,L47221,L,298.8,309.1,1368,50.8,115,0,69.4944,7991.856,10.300000000000011,0,5842.0,157320,0.4379310344827586,422848.80000000005,2580.64,1871424,95542.81000000001,4.7535901911063645,2
43,M14902,M,298.8,309.1,1368,49.1,117,0,67.1688,7858.7496,10.300000000000011,0,5744.7,160056,0.4161016949152542,422848.80000000005,2410.81,1871424,95542.81000000001,4.770684624465665,2
44,H29457,H,298.8,309.2,1372,48.5,120,0,66.542,7985.04,10.399999999999977,0,5820.0,164640,0.40082644628099173,424222.39999999997,2352.25,1882384,95604.64,4.795790545596741,2
45,M14904,M,298.8,309.1,1472,47.5,125,0,69.92,8740.0,10.300000000000011,0,5937.5,184000,0.376984126984127,454995.2,2256.25,2166784,95542.81000000001,4.836281906951478,2
46,L47225,L,298.8,309.1,1489,49.1,128,0,73.10990000000001,9358.067200000001,10.300000000000011,0,6284.8,190592,0.3806201550387597,460249.9,2410.81,2217121,95542.81000000001,4.859812404361672,2
47,M14906,M,298.7,309.0,1843,25.8,130,0,47.5494,6181.422,10.300000000000011,0,3354.0,239590,0.1969465648854962,569487.0,665.64,3396649,95481.0,4.875197323201151,2
48,L47227,L,298.8,309.1,1418,46.3,133,0,65.65339999999999,8731.902199999999,10.300000000000011,0,6157.9,188594,0.3455223880597015,438303.80000000005,2143.6899999999996,2010724,95542.81000000001,4.897839799950911,2
49,H29462,H,298.8,309.2,1425,53.9,135,0,76.8075,10369.0125,10.399999999999977,0,7276.5,192375,0.3963235294117647,440610.0,2905.21,2030625,95604.64,4.912654885736052,2
50,M14909,M,298.9,309.2,1412,44.1,140,0,62.269200000000005,8717.688,10.300000000000011,0,6174.0,197680,0.3127659574468085,436590.39999999997,1944.8100000000002,1993744,95604.64,4.948759890378168,2
51,L47230,L,298.9,309.1,2861,4.6,143,1,13.160599999999999,1881.9657999999997,10.200000000000045,0,657.8,409123,0.03194444444444444,884335.1000000001,21.159999999999997,8185321,95542.81000000001,4.969813299576001,2
52,L47231,L,298.9,309.1,1383,54.9,145,0,75.9267,11009.3715,10.200000000000045,0,7960.5,200535,0.37602739726027395,427485.30000000005,3014.0099999999998,1912689,95542.81000000001,4.983606621708336,2
53,H29466,H,298.8,309.0,1497,43.8,147,0,65.56859999999999,9638.5842,10.199999999999989,0,6438.599999999999,220059,0.2959459459459459,462573.0,1918.4399999999998,2241009,95481.0,4.997212273764115,2
54,L47233,L,298.7,309.0,1565,35.1,152,0,54.9315,8349.588,10.300000000000011,0,5335.2,237880,0.22941176470588237,483585.0,1232.01,2449225,95481.0,5.030437921392435,2
55,L47234,L,298.7,309.0,1691,30.1,154,0,50.899100000000004,7838.461400000001,10.300000000000011,0,4635.400000000001,260414,0.1941935483870968,522519.0,906.0100000000001,2859481,95481.0,5.043425116919247,2
56,L47235,L,298.8,309.1,1512,40.7,156,0,61.5384,9599.9904,10.300000000000011,0,6349.200000000001,235872,0.2592356687898089,467359.2,1656.4900000000002,2286144,95542.81000000001,5.056245805348308,2
57,L47236,L,298.8,309.1,1477,42.4,158,0,62.62479999999999,9894.7184,10.300000000000011,0,6699.2,233366,0.26666666666666666,456540.7,1797.76,2181529,95542.81000000001,5.0689042022202315,2
58,L47237,L,298.8,309.1,1513,40.3,160,0,60.97389999999999,9755.823999999999,10.300000000000011,0,6448.0,242080,0.2503105590062112,467668.30000000005,1624.0899999999997,2289169,95542.81000000001,5.081404364984463,2
59,M14918,M,298.8,309.0,1661,29.5,162,0,48.9995,7937.919,10.199999999999989,0,4779.0,269082,0.18098159509202455,513249.0,870.25,2758921,95481.0,5.093750200806762,2
60,L47239,L,298.8,309.1,1378,54.4,165,0,74.9632,12368.928,10.300000000000011,0,8976.0,227370,0.327710843373494,425939.80000000005,2959.3599999999997,1898884,95542.81000000001,5.111987788356544,3
61,L47240,L,298.8,309.1,1393,52.6,167,0,73.2718,12236.3906,10.300000000000011,0,8784.2,232631,0.3130952380952381,430576.30000000005,2766.76,1940449,95542.81000000001,5.123963979403259,3
62,M14921,M,298.8,309.0,1592,38.2,169,0,60.8144,10277.6336,10.199999999999989,0,6455.8,269048,0.2247058823529412,491928.0,1459.2400000000002,2534464,95481.0,5.135798437050262,3
63,L47242,L,298.8,309.0,1829,22.9,172,0,41.8841,7204.065199999999,10.199999999999989,0,3938.7999999999997,314588,0.13236994219653178,565161.0,524.41,3345241,95481.0,5.153291594497779,3
64,M14923,M,298.9,309.0,1812,25.9,174,0,46.9308,8165.959199999999,10.100000000000023,0,4506.599999999999,315288,0.148,559908.0,670.81,3283344,95481.0,5.1647859739235145,3
65,L47244,L,299.0,309.1,1523,38.6,177,0,58.787800000000004,10405.4406,10.100000000000023,0,6832.2,269571,0.21685393258426966,470759.30000000005,1489.96,2319529,95542.81000000001,5.181783550292085,3
66,L47245,L,299.0,309.1,1394,45.1,179,0,62.8694,11253.6226,10.100000000000023,0,8072.900000000001,249526,0.2505555555555556,430885.4,2034.0100000000002,1943236,95542.81000000001,5.19295685089021,3
67,M14926,M,298.9,308.9,1679,28.7,181,0,48.18729999999999,8721.9013,10.0,0,5194.7,303899,0.1576923076923077,518643.1,823.6899999999999,2819041,95419.20999999999,5.204006687076795,3
68,H29481,H,298.8,308.9,1466,44.1,184,0,64.6506,11895.7104,10.099999999999966,0,8114.400000000001,269744,0.23837837837837839,452847.39999999997,1944.8100000000002,2149156,95419.20999999999,5.220355825078324,3
69,L47248,L,298.8,308.9,1527,32.4,189,0,49.474799999999995,9350.7372,10.099999999999966,0,6123.599999999999,288603,0.17052631578947366,471690.3,1049.76,2331729,95419.20999999999,5.247024072160486,3
70,L47249,L,298.9,309.0,1410,65.7,191,1,92.637,17693.667,10.100000000000023,0,12548.7,269310,0.34218750000000003,435690.0,4316.490000000001,1988100,95481.0,5.2574953720277815,3
71,M14930,M,298.9,309.0,1924,22.6,193,0,43.4824,8392.1032,10.100000000000023,0,4361.8,371332,0.11649484536082474,594516.0,510.76000000000005,3701776,95481.0,5.267858159063328,3
72,L47251,L,298.9,309.1,1452,45.5,196,0,66.066,12948.936,10.200000000000045,0,8918.0,284592,0.23096446700507614,448813.2,2070.25,2108304,95542.81000000001,5.2832037287379885,3
